x,y
3144,0.4
3146,0.4
3148,0.4
3150,0.4
3153,0.4
3155,0.4
3157,0.4
3159,0.4
3161,0.4
3164,0.4
3166,0.4
3168,0.4
3170,0.4
3172,0.4
3175,0.4
3177,0.4
3179,0.4
3181,0.4
3183,0.4
3186,0.4
3188,0.4
3190,0.4
3192,0.4
3194,0.4
3197,0.4
3199,0.4
