[3148]: {'stabilizer.yaw': 0.0001914162712637335, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7166.0, 'hotpatch.measure_time': 1333511.0}
[3158]: {'stabilizer.yaw': -0.00019921762577723712, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7346.0, 'hotpatch.measure_time': 1367643.0}
[3168]: {'stabilizer.yaw': -0.00026965540018863976, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7529.0, 'hotpatch.measure_time': 1401892.0}
[3178]: {'stabilizer.yaw': 0.00015481466834899038, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7722.0, 'hotpatch.measure_time': 1438470.0}
[3188]: {'stabilizer.yaw': -0.0005235885037109256, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7908.0, 'hotpatch.measure_time': 1473100.0}
[3198]: {'stabilizer.yaw': -0.0007650114130228758, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8095.0, 'hotpatch.measure_time': 1508596.0}
[3208]: {'stabilizer.yaw': -0.000909743073862046, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8273.0, 'hotpatch.measure_time': 1542375.0}
[3218]: {'stabilizer.yaw': -0.0013381978496909142, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8454.0, 'hotpatch.measure_time': 1576414.0}
[3228]: {'stabilizer.yaw': -0.00014843804819975048, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8633.0, 'hotpatch.measure_time': 1610037.0}
[3238]: {'stabilizer.yaw': -0.0015371567569673061, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8807.0, 'hotpatch.measure_time': 1643050.0}
[3248]: {'stabilizer.yaw': -0.0011528212344273925, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8985.0, 'hotpatch.measure_time': 1676658.0}
[3258]: {'stabilizer.yaw': -0.001345798373222351, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9164.0, 'hotpatch.measure_time': 1710581.0}
[3268]: {'stabilizer.yaw': -0.001358601963147521, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9357.0, 'hotpatch.measure_time': 1747160.0}
[3278]: {'stabilizer.yaw': -0.00034382453304715455, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9533.0, 'hotpatch.measure_time': 1780310.0}
[3288]: {'stabilizer.yaw': -0.001712618162855506, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9721.0, 'hotpatch.measure_time': 1815712.0}
[3298]: {'stabilizer.yaw': -0.00011640780576271936, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9904.0, 'hotpatch.measure_time': 1850296.0}
[3308]: {'stabilizer.yaw': -0.0017509174067527056, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10090.0, 'hotpatch.measure_time': 1885414.0}
[3318]: {'stabilizer.yaw': -0.0017394020687788725, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10255.0, 'hotpatch.measure_time': 1916586.0}
[3328]: {'stabilizer.yaw': -0.0010886916425079107, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10438.0, 'hotpatch.measure_time': 1950932.0}
[3338]: {'stabilizer.yaw': -0.0017438624054193497, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10611.0, 'hotpatch.measure_time': 1982938.0}
[3348]: {'stabilizer.yaw': -0.0019866102375090122, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10756.0, 'hotpatch.measure_time': 2010365.0}
[3358]: {'stabilizer.yaw': -0.002615084871649742, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10943.0, 'hotpatch.measure_time': 2045643.0}
[3368]: {'stabilizer.yaw': -0.002030878094956279, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11084.0, 'hotpatch.measure_time': 2072300.0}
[3378]: {'stabilizer.yaw': -0.0020322962664067745, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11263.0, 'hotpatch.measure_time': 2105758.0}
[3388]: {'stabilizer.yaw': -0.0014363538939505816, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11441.0, 'hotpatch.measure_time': 2139414.0}
[3398]: {'stabilizer.yaw': -0.0006980604375712574, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11588.0, 'hotpatch.measure_time': 2166988.0}
[3408]: {'stabilizer.yaw': -0.0006043667672201991, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11779.0, 'hotpatch.measure_time': 2203047.0}
[3418]: {'stabilizer.yaw': -0.0013975035399198532, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11891.0, 'hotpatch.measure_time': 2224166.0}
[3428]: {'stabilizer.yaw': -0.00023631268413737416, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11983.0, 'hotpatch.measure_time': 2241490.0}
[3438]: {'stabilizer.yaw': -0.0006515115383081138, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12073.0, 'hotpatch.measure_time': 2258498.0}
[3448]: {'stabilizer.yaw': -0.0014128127368167043, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12165.0, 'hotpatch.measure_time': 2275861.0}
[3458]: {'stabilizer.yaw': -0.002117153024300933, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12255.0, 'hotpatch.measure_time': 2292840.0}
[3468]: {'stabilizer.yaw': -0.0025593172758817673, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12349.0, 'hotpatch.measure_time': 2310558.0}
[3478]: {'stabilizer.yaw': -0.0020018930081278086, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12439.0, 'hotpatch.measure_time': 2327543.0}
[3488]: {'stabilizer.yaw': -0.002729545347392559, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12531.0, 'hotpatch.measure_time': 2344908.0}
[3498]: {'stabilizer.yaw': -0.002500541042536497, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12621.0, 'hotpatch.measure_time': 2361890.0}
[3508]: {'stabilizer.yaw': -0.0027154574636369944, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12714.0, 'hotpatch.measure_time': 2379446.0}
[3518]: {'stabilizer.yaw': -0.00263015809468925, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12806.0, 'hotpatch.measure_time': 2396785.0}
[3528]: {'stabilizer.yaw': -0.0014226699713617563, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12898.0, 'hotpatch.measure_time': 2414140.0}
[3538]: {'stabilizer.yaw': -0.0006217682966962457, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12988.0, 'hotpatch.measure_time': 2431123.0}
[3548]: {'stabilizer.yaw': -8.390544826397672e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13079.0, 'hotpatch.measure_time': 2448315.0}
[3558]: {'stabilizer.yaw': -0.0008546168101020157, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13169.0, 'hotpatch.measure_time': 2465294.0}
[3568]: {'stabilizer.yaw': -0.0015026670880615711, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13260.0, 'hotpatch.measure_time': 2482487.0}
[3578]: {'stabilizer.yaw': -0.002118555596098304, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13350.0, 'hotpatch.measure_time': 2499468.0}
[3588]: {'stabilizer.yaw': -0.0028483194764703512, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13441.0, 'hotpatch.measure_time': 2516660.0}
[3598]: {'stabilizer.yaw': -0.002015968319028616, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13531.0, 'hotpatch.measure_time': 2533638.0}
[3608]: {'stabilizer.yaw': -0.002105176914483309, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13623.0, 'hotpatch.measure_time': 2551020.0}
[3618]: {'stabilizer.yaw': -0.0025030989199876785, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13715.0, 'hotpatch.measure_time': 2568360.0}
[3628]: {'stabilizer.yaw': -0.000953102542553097, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13806.0, 'hotpatch.measure_time': 2585549.0}
[3638]: {'stabilizer.yaw': -0.0008406463894061744, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13896.0, 'hotpatch.measure_time': 2602530.0}
[3648]: {'stabilizer.yaw': 4.007805182482116e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13988.0, 'hotpatch.measure_time': 2619752.0}
[3658]: {'stabilizer.yaw': -0.0001358876470476389, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14078.0, 'hotpatch.measure_time': 2636733.0}
[3668]: {'stabilizer.yaw': -0.00048403572873212397, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14170.0, 'hotpatch.measure_time': 2654115.0}
[3678]: {'stabilizer.yaw': 0.00016597140347585082, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14260.0, 'hotpatch.measure_time': 2671095.0}
[3688]: {'stabilizer.yaw': 0.0007450756966136396, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14352.0, 'hotpatch.measure_time': 2688480.0}
