[3150]: {'stabilizer.yaw': 0.001040693954564631, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7192.0, 'hotpatch.measure_time': 1344491.0}
[3160]: {'stabilizer.yaw': 0.0006041042506694794, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7375.0, 'hotpatch.measure_time': 1379005.0}
[3170]: {'stabilizer.yaw': -0.00024698005290701985, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7559.0, 'hotpatch.measure_time': 1413817.0}
[3180]: {'stabilizer.yaw': -0.0013556309277191758, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7739.0, 'hotpatch.measure_time': 1447529.0}
[3190]: {'stabilizer.yaw': -0.0011987065663561225, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7899.0, 'hotpatch.measure_time': 1477814.0}
[3200]: {'stabilizer.yaw': -2.0633953681681305e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8067.0, 'hotpatch.measure_time': 1509381.0}
[3210]: {'stabilizer.yaw': 0.0002347651170566678, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8252.0, 'hotpatch.measure_time': 1544376.0}
[3220]: {'stabilizer.yaw': 0.001257681054994464, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8415.0, 'hotpatch.measure_time': 1574993.0}
[3230]: {'stabilizer.yaw': 0.0012459721183404326, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8589.0, 'hotpatch.measure_time': 1607868.0}
[3240]: {'stabilizer.yaw': 0.0021527439821511507, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8745.0, 'hotpatch.measure_time': 1637263.0}
[3250]: {'stabilizer.yaw': 0.0021491653751581907, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8902.0, 'hotpatch.measure_time': 1667013.0}
[3260]: {'stabilizer.yaw': 0.0031644897535443306, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9050.0, 'hotpatch.measure_time': 1694831.0}
[3270]: {'stabilizer.yaw': 0.004270064644515514, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9196.0, 'hotpatch.measure_time': 1722136.0}
[3280]: {'stabilizer.yaw': 0.005609714426100254, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9346.0, 'hotpatch.measure_time': 1750027.0}
[3290]: {'stabilizer.yaw': 0.004286860581487417, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9508.0, 'hotpatch.measure_time': 1780374.0}
[3300]: {'stabilizer.yaw': 0.0035907500423491, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9675.0, 'hotpatch.measure_time': 1811664.0}
[3310]: {'stabilizer.yaw': 0.004092083312571049, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9827.0, 'hotpatch.measure_time': 1840402.0}
[3320]: {'stabilizer.yaw': 0.004142484627664089, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9995.0, 'hotpatch.measure_time': 1872015.0}
[3330]: {'stabilizer.yaw': 0.004257762338966131, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10163.0, 'hotpatch.measure_time': 1903794.0}
[3340]: {'stabilizer.yaw': 0.004546185489743948, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10331.0, 'hotpatch.measure_time': 1935559.0}
[3350]: {'stabilizer.yaw': 0.0038876908365637064, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10499.0, 'hotpatch.measure_time': 1966853.0}
[3360]: {'stabilizer.yaw': 0.00433070445433259, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10672.0, 'hotpatch.measure_time': 1999406.0}
[3370]: {'stabilizer.yaw': 0.003992894198745489, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10849.0, 'hotpatch.measure_time': 2032714.0}
[3380]: {'stabilizer.yaw': 0.004338748753070831, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11029.0, 'hotpatch.measure_time': 2066348.0}
[3390]: {'stabilizer.yaw': 0.003611403051763773, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11200.0, 'hotpatch.measure_time': 2098617.0}
[3400]: {'stabilizer.yaw': 0.005053215194493532, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11395.0, 'hotpatch.measure_time': 2135175.0}
[3410]: {'stabilizer.yaw': 0.005387472920119762, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11590.0, 'hotpatch.measure_time': 2172056.0}
[3420]: {'stabilizer.yaw': 0.004488401114940643, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11778.0, 'hotpatch.measure_time': 2207555.0}
[3430]: {'stabilizer.yaw': 0.00495719350874424, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11963.0, 'hotpatch.measure_time': 2242410.0}
[3440]: {'stabilizer.yaw': 0.0042515587992966175, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12055.0, 'hotpatch.measure_time': 2259777.0}
[3450]: {'stabilizer.yaw': 0.004470260348170996, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12145.0, 'hotpatch.measure_time': 2276763.0}
[3460]: {'stabilizer.yaw': 0.0030319681391119957, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12236.0, 'hotpatch.measure_time': 2293960.0}
[3470]: {'stabilizer.yaw': 0.003084912896156311, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12326.0, 'hotpatch.measure_time': 2310944.0}
[3480]: {'stabilizer.yaw': 0.003707003779709339, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12417.0, 'hotpatch.measure_time': 2328140.0}
[3490]: {'stabilizer.yaw': 0.004490139428526163, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12507.0, 'hotpatch.measure_time': 2345127.0}
[3500]: {'stabilizer.yaw': 0.005793368443846703, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12600.0, 'hotpatch.measure_time': 2362684.0}
[3510]: {'stabilizer.yaw': 0.005629329476505518, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12690.0, 'hotpatch.measure_time': 2379670.0}
[3520]: {'stabilizer.yaw': 0.006049923598766327, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12781.0, 'hotpatch.measure_time': 2396868.0}
[3530]: {'stabilizer.yaw': 0.004750408697873354, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12873.0, 'hotpatch.measure_time': 2414210.0}
[3540]: {'stabilizer.yaw': 0.0051218620501458645, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12964.0, 'hotpatch.measure_time': 2431408.0}
[3550]: {'stabilizer.yaw': 0.00391690107062459, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13054.0, 'hotpatch.measure_time': 2448392.0}
[3560]: {'stabilizer.yaw': -0.003876966657117009, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13142.0, 'hotpatch.measure_time': 2465012.0}
[3570]: {'stabilizer.yaw': 0.003326305653899908, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13236.0, 'hotpatch.measure_time': 2482757.0}
[3580]: {'stabilizer.yaw': -0.004472317174077034, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13324.0, 'hotpatch.measure_time': 2499380.0}
[3590]: {'stabilizer.yaw': 0.004223582334816456, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13419.0, 'hotpatch.measure_time': 2517319.0}
[3600]: {'stabilizer.yaw': -0.004825529642403126, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13509.0, 'hotpatch.measure_time': 2534300.0}
[3610]: {'stabilizer.yaw': 0.0037636784836649895, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13603.0, 'hotpatch.measure_time': 2552051.0}
[3620]: {'stabilizer.yaw': -0.00428295973688364, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13691.0, 'hotpatch.measure_time': 2568677.0}
[3630]: {'stabilizer.yaw': 0.0034592170268297195, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13787.0, 'hotpatch.measure_time': 2586778.0}
[3640]: {'stabilizer.yaw': -0.0040198820643126965, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13873.0, 'hotpatch.measure_time': 2603064.0}
[3650]: {'stabilizer.yaw': 0.004793663043528795, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13965.0, 'hotpatch.measure_time': 2620472.0}
[3660]: {'stabilizer.yaw': -0.005123777315020561, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14051.0, 'hotpatch.measure_time': 2636752.0}
[3670]: {'stabilizer.yaw': 0.005036621820181608, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14142.0, 'hotpatch.measure_time': 2653986.0}
[3680]: {'stabilizer.yaw': -0.003399047302082181, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14228.0, 'hotpatch.measure_time': 2670248.0}
[3690]: {'stabilizer.yaw': 0.003326641395688057, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14319.0, 'hotpatch.measure_time': 2687483.0}
[3700]: {'stabilizer.yaw': -0.003396477783098817, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 14406.0, 'hotpatch.measure_time': 2703935.0}
