[3152]: {'stabilizer.yaw': -0.00018993817502632737, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7173.0, 'hotpatch.measure_time': 1338795.0}
[3162]: {'stabilizer.yaw': 0.0006625568494200706, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7362.0, 'hotpatch.measure_time': 1374648.0}
[3172]: {'stabilizer.yaw': -0.0002553722879383713, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7558.0, 'hotpatch.measure_time': 1411657.0}
[3182]: {'stabilizer.yaw': -5.2677380153909326e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7734.0, 'hotpatch.measure_time': 1445014.0}
[3192]: {'stabilizer.yaw': 0.0004931595176458359, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7908.0, 'hotpatch.measure_time': 1477954.0}
[3202]: {'stabilizer.yaw': 0.0010714067611843348, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8096.0, 'hotpatch.measure_time': 1513571.0}
[3212]: {'stabilizer.yaw': 0.0011315260780975223, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8292.0, 'hotpatch.measure_time': 1550689.0}
[3222]: {'stabilizer.yaw': 0.0006027972558513284, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8490.0, 'hotpatch.measure_time': 1588187.0}
[3232]: {'stabilizer.yaw': -0.0005979858106002212, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8666.0, 'hotpatch.measure_time': 1621435.0}
[3242]: {'stabilizer.yaw': -2.289750955242198e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8822.0, 'hotpatch.measure_time': 1650942.0}
[3252]: {'stabilizer.yaw': 0.0001148107330664061, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8974.0, 'hotpatch.measure_time': 1679636.0}
[3262]: {'stabilizer.yaw': 0.0007551067392341793, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9123.0, 'hotpatch.measure_time': 1707735.0}
[3272]: {'stabilizer.yaw': -0.00025001776521094143, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9262.0, 'hotpatch.measure_time': 1733988.0}
[3282]: {'stabilizer.yaw': 0.0008195312693715096, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9401.0, 'hotpatch.measure_time': 1760167.0}
[3292]: {'stabilizer.yaw': 0.00011256903962930664, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9546.0, 'hotpatch.measure_time': 1787587.0}
[3302]: {'stabilizer.yaw': -0.00029442558297887444, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9695.0, 'hotpatch.measure_time': 1815543.0}
[3312]: {'stabilizer.yaw': -0.00023095746291801333, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9839.0, 'hotpatch.measure_time': 1842713.0}
[3322]: {'stabilizer.yaw': -8.899431850295514e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9981.0, 'hotpatch.measure_time': 1869483.0}
[3332]: {'stabilizer.yaw': -0.0009067020146176219, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10126.0, 'hotpatch.measure_time': 1896595.0}
[3342]: {'stabilizer.yaw': -0.0009284120169468224, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10281.0, 'hotpatch.measure_time': 1926012.0}
[3352]: {'stabilizer.yaw': -0.0014763048384338617, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10425.0, 'hotpatch.measure_time': 1952891.0}
[3362]: {'stabilizer.yaw': 0.00020834030874539167, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10571.0, 'hotpatch.measure_time': 1980525.0}
[3372]: {'stabilizer.yaw': 0.0009786547161638737, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10707.0, 'hotpatch.measure_time': 2006308.0}
[3382]: {'stabilizer.yaw': 0.0014979782281443477, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10851.0, 'hotpatch.measure_time': 2033643.0}
[3392]: {'stabilizer.yaw': 0.0009894968243315816, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10994.0, 'hotpatch.measure_time': 2060663.0}
[3402]: {'stabilizer.yaw': 0.0016990454168990254, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11139.0, 'hotpatch.measure_time': 2088054.0}
