[3146]: {'stabilizer.yaw': 0.004179703537374735, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 206.0, 'hotpatch.context_switches': 7326.0, 'hotpatch.measure_time': 2104807.0}
[3156]: {'stabilizer.yaw': 0.003891583066433668, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7513.0, 'hotpatch.measure_time': 2158767.0}
[3166]: {'stabilizer.yaw': 0.004016821272671223, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7704.0, 'hotpatch.measure_time': 2213801.0}
[3176]: {'stabilizer.yaw': 0.0042308238334953785, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7894.0, 'hotpatch.measure_time': 2268371.0}
[3186]: {'stabilizer.yaw': 0.005334368906915188, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8084.0, 'hotpatch.measure_time': 2323133.0}
[3196]: {'stabilizer.yaw': 0.006152251269668341, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8266.0, 'hotpatch.measure_time': 2375627.0}
[3206]: {'stabilizer.yaw': 0.006404035724699497, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8452.0, 'hotpatch.measure_time': 2429286.0}
[3216]: {'stabilizer.yaw': 0.007532292045652866, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8650.0, 'hotpatch.measure_time': 2486153.0}
[3226]: {'stabilizer.yaw': -0.007900489494204521, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8846.0, 'hotpatch.measure_time': 2541972.0}
[3236]: {'stabilizer.yaw': -0.008630294352769852, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 9040.0, 'hotpatch.measure_time': 2597261.0}
[3246]: {'stabilizer.yaw': -0.008266903460025787, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9222.0, 'hotpatch.measure_time': 2649417.0}
[3256]: {'stabilizer.yaw': -0.00974571518599987, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9406.0, 'hotpatch.measure_time': 2702172.0}
[3266]: {'stabilizer.yaw': -0.009108783677220345, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9592.0, 'hotpatch.measure_time': 2754723.0}
