[3153]: {'stabilizer.yaw': -0.0012244937242940068, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7214.0, 'hotpatch.measure_time': 1343195.0}
[3163]: {'stabilizer.yaw': -0.0021990155801177025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7396.0, 'hotpatch.measure_time': 1377574.0}
[3173]: {'stabilizer.yaw': -0.002306840382516384, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7577.0, 'hotpatch.measure_time': 1411752.0}
[3183]: {'stabilizer.yaw': -0.0010436763986945152, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7766.0, 'hotpatch.measure_time': 1447592.0}
[3193]: {'stabilizer.yaw': 6.530599057441577e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7950.0, 'hotpatch.measure_time': 1482509.0}
[3203]: {'stabilizer.yaw': 0.00035395738086663187, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8103.0, 'hotpatch.measure_time': 1511488.0}
[3213]: {'stabilizer.yaw': -0.0007958707283250988, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8268.0, 'hotpatch.measure_time': 1542766.0}
[3223]: {'stabilizer.yaw': -0.0014150681672617793, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8450.0, 'hotpatch.measure_time': 1577133.0}
[3233]: {'stabilizer.yaw': -0.0020500875543802977, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8627.0, 'hotpatch.measure_time': 1610685.0}
[3243]: {'stabilizer.yaw': -0.0012515544658526778, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8810.0, 'hotpatch.measure_time': 1644967.0}
[3253]: {'stabilizer.yaw': -0.0008732473943382502, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8992.0, 'hotpatch.measure_time': 1679190.0}
[3263]: {'stabilizer.yaw': -0.001707752700895071, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9175.0, 'hotpatch.measure_time': 1713688.0}
[3273]: {'stabilizer.yaw': -0.0008233513217419386, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9359.0, 'hotpatch.measure_time': 1748359.0}
[3283]: {'stabilizer.yaw': -0.0006964607746340334, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9546.0, 'hotpatch.measure_time': 1783796.0}
[3293]: {'stabilizer.yaw': -0.0010346154449507594, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9697.0, 'hotpatch.measure_time': 1812363.0}
[3303]: {'stabilizer.yaw': -0.000375039700884372, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9886.0, 'hotpatch.measure_time': 1847985.0}
[3313]: {'stabilizer.yaw': -0.0006456403061747551, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10061.0, 'hotpatch.measure_time': 1880701.0}
[3323]: {'stabilizer.yaw': 0.0014318207977339625, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10236.0, 'hotpatch.measure_time': 1913469.0}
[3333]: {'stabilizer.yaw': 0.0022693383507430553, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10401.0, 'hotpatch.measure_time': 1944671.0}
[3343]: {'stabilizer.yaw': 0.0020132388453930616, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10560.0, 'hotpatch.measure_time': 1974745.0}
[3353]: {'stabilizer.yaw': 0.0027495045214891434, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10738.0, 'hotpatch.measure_time': 2008492.0}
[3363]: {'stabilizer.yaw': 0.0014619533903896809, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10926.0, 'hotpatch.measure_time': 2044086.0}
[3373]: {'stabilizer.yaw': 0.0018474560929462314, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11096.0, 'hotpatch.measure_time': 2076196.0}
[3383]: {'stabilizer.yaw': 0.002292918972671032, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11252.0, 'hotpatch.measure_time': 2105620.0}
[3393]: {'stabilizer.yaw': 0.0017517146188765764, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11438.0, 'hotpatch.measure_time': 2140723.0}
[3403]: {'stabilizer.yaw': 0.0030518684070557356, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11625.0, 'hotpatch.measure_time': 2175929.0}
[3413]: {'stabilizer.yaw': 0.0025391033850610256, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11801.0, 'hotpatch.measure_time': 2208935.0}
[3423]: {'stabilizer.yaw': 0.0016402405453845859, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11911.0, 'hotpatch.measure_time': 2229434.0}
[3433]: {'stabilizer.yaw': 0.002576021710410714, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12001.0, 'hotpatch.measure_time': 2246416.0}
[3443]: {'stabilizer.yaw': 0.0018813732312992215, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12093.0, 'hotpatch.measure_time': 2263789.0}
[3453]: {'stabilizer.yaw': 0.0019331841031089425, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12183.0, 'hotpatch.measure_time': 2280773.0}
[3463]: {'stabilizer.yaw': 0.0019038686295971274, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12277.0, 'hotpatch.measure_time': 2298499.0}
[3473]: {'stabilizer.yaw': 0.0016205912688747048, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12367.0, 'hotpatch.measure_time': 2315480.0}
[3483]: {'stabilizer.yaw': -3.426047260290943e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12459.0, 'hotpatch.measure_time': 2332842.0}
[3493]: {'stabilizer.yaw': -0.00029979951796121895, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12549.0, 'hotpatch.measure_time': 2349830.0}
[3503]: {'stabilizer.yaw': -0.00046374183148145676, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12643.0, 'hotpatch.measure_time': 2367546.0}
[3513]: {'stabilizer.yaw': -0.0009048458305187523, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12733.0, 'hotpatch.measure_time': 2384529.0}
[3523]: {'stabilizer.yaw': -0.00031935086008161306, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12826.0, 'hotpatch.measure_time': 2402081.0}
[3533]: {'stabilizer.yaw': 0.00017939545796252787, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12916.0, 'hotpatch.measure_time': 2419060.0}
[3543]: {'stabilizer.yaw': -0.00033116430859081447, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13008.0, 'hotpatch.measure_time': 2436421.0}
[3553]: {'stabilizer.yaw': 0.0001569125452078879, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13098.0, 'hotpatch.measure_time': 2453401.0}
