[3148]: {'stabilizer.yaw': 0.0033533992245793343, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7381.0, 'hotpatch.measure_time': 1887524.0}
[3158]: {'stabilizer.yaw': 0.003152043092995882, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7564.0, 'hotpatch.measure_time': 1933836.0}
[3168]: {'stabilizer.yaw': 0.004774015862494707, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7748.0, 'hotpatch.measure_time': 1980858.0}
[3178]: {'stabilizer.yaw': 0.0049883294850587845, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 7932.0, 'hotpatch.measure_time': 2027741.0}
[3188]: {'stabilizer.yaw': 0.0046053011901676655, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8118.0, 'hotpatch.measure_time': 2075201.0}
[3198]: {'stabilizer.yaw': 0.0049120401963591576, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8298.0, 'hotpatch.measure_time': 2120997.0}
[3208]: {'stabilizer.yaw': 0.005235604476183653, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8484.0, 'hotpatch.measure_time': 2167996.0}
[3218]: {'stabilizer.yaw': 0.0046229236759245396, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8664.0, 'hotpatch.measure_time': 2212975.0}
[3228]: {'stabilizer.yaw': 0.004851306788623333, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8850.0, 'hotpatch.measure_time': 2259889.0}
[3238]: {'stabilizer.yaw': 0.00490290904417634, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9041.0, 'hotpatch.measure_time': 2308744.0}
[3248]: {'stabilizer.yaw': 0.005390489473938942, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9238.0, 'hotpatch.measure_time': 2358487.0}
[3258]: {'stabilizer.yaw': 0.005001464392989874, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9421.0, 'hotpatch.measure_time': 2405453.0}
[3268]: {'stabilizer.yaw': 0.003300284268334508, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9572.0, 'hotpatch.measure_time': 2444053.0}
[3278]: {'stabilizer.yaw': 0.0031810731161385775, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9718.0, 'hotpatch.measure_time': 2481320.0}
[3288]: {'stabilizer.yaw': 0.003887712489813566, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 9864.0, 'hotpatch.measure_time': 2518515.0}
[3298]: {'stabilizer.yaw': 0.0029775623697787523, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10034.0, 'hotpatch.measure_time': 2561759.0}
[3308]: {'stabilizer.yaw': 0.004196675028651953, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10234.0, 'hotpatch.measure_time': 2612707.0}
[3318]: {'stabilizer.yaw': 0.003929877653717995, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10400.0, 'hotpatch.measure_time': 2654757.0}
[3328]: {'stabilizer.yaw': 0.004718736279755831, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10587.0, 'hotpatch.measure_time': 2702548.0}
[3338]: {'stabilizer.yaw': 0.005502400919795036, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 10771.0, 'hotpatch.measure_time': 2749651.0}
[3348]: {'stabilizer.yaw': 0.004092598333954811, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 10964.0, 'hotpatch.measure_time': 2798903.0}
[3358]: {'stabilizer.yaw': 0.0054086195304989815, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11156.0, 'hotpatch.measure_time': 2847172.0}
[3368]: {'stabilizer.yaw': 0.005886441096663475, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11329.0, 'hotpatch.measure_time': 2891315.0}
[3378]: {'stabilizer.yaw': 0.006210999563336372, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11482.0, 'hotpatch.measure_time': 2930440.0}
[3388]: {'stabilizer.yaw': 0.006217407062649727, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11628.0, 'hotpatch.measure_time': 2967754.0}
[3398]: {'stabilizer.yaw': 0.006487863603979349, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11771.0, 'hotpatch.measure_time': 3004036.0}
[3408]: {'stabilizer.yaw': 0.007603492122143507, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11950.0, 'hotpatch.measure_time': 3049755.0}
[3418]: {'stabilizer.yaw': 0.008305788040161133, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12094.0, 'hotpatch.measure_time': 3086298.0}
[3428]: {'stabilizer.yaw': 0.00788419134914875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12214.0, 'hotpatch.measure_time': 3116954.0}
[3438]: {'stabilizer.yaw': 0.00805683620274067, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12305.0, 'hotpatch.measure_time': 3140268.0}
[3448]: {'stabilizer.yaw': 0.008867708966135979, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12398.0, 'hotpatch.measure_time': 3164075.0}
[3458]: {'stabilizer.yaw': 0.008388073183596134, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12489.0, 'hotpatch.measure_time': 3187393.0}
[3468]: {'stabilizer.yaw': 0.008346403017640114, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12584.0, 'hotpatch.measure_time': 3211653.0}
[3478]: {'stabilizer.yaw': 0.008566193282604218, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12675.0, 'hotpatch.measure_time': 3234967.0}
[3488]: {'stabilizer.yaw': 0.00859439093619585, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 12768.0, 'hotpatch.measure_time': 3258773.0}
[3498]: {'stabilizer.yaw': 0.007669107988476753, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12859.0, 'hotpatch.measure_time': 3282088.0}
[3508]: {'stabilizer.yaw': 0.00624114740639925, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 12954.0, 'hotpatch.measure_time': 3306363.0}
[3518]: {'stabilizer.yaw': 0.006649175193160772, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13045.0, 'hotpatch.measure_time': 3329681.0}
[3528]: {'stabilizer.yaw': 0.007071570493280888, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13140.0, 'hotpatch.measure_time': 3353942.0}
[3538]: {'stabilizer.yaw': 0.009097166359424591, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13231.0, 'hotpatch.measure_time': 3377257.0}
[3548]: {'stabilizer.yaw': 0.009379681199789047, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13324.0, 'hotpatch.measure_time': 3401064.0}
[3558]: {'stabilizer.yaw': 0.009562933817505836, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13414.0, 'hotpatch.measure_time': 3424157.0}
