[3149]: {'stabilizer.yaw': -0.008336326107382774, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7391.0, 'hotpatch.measure_time': 1892630.0}
[3159]: {'stabilizer.yaw': -0.008528022095561028, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7574.0, 'hotpatch.measure_time': 1939242.0}
[3169]: {'stabilizer.yaw': -0.008142933249473572, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7774.0, 'hotpatch.measure_time': 1990125.0}
[3179]: {'stabilizer.yaw': -0.008743101730942726, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7961.0, 'hotpatch.measure_time': 2037846.0}
[3189]: {'stabilizer.yaw': -0.008531090803444386, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8152.0, 'hotpatch.measure_time': 2086202.0}
[3199]: {'stabilizer.yaw': -0.009243392385542393, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8344.0, 'hotpatch.measure_time': 2135007.0}
[3209]: {'stabilizer.yaw': -0.01025430392473936, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8545.0, 'hotpatch.measure_time': 2186313.0}
[3219]: {'stabilizer.yaw': -0.009865283034741879, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8738.0, 'hotpatch.measure_time': 2235867.0}
[3229]: {'stabilizer.yaw': -0.009568842127919197, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8932.0, 'hotpatch.measure_time': 2285155.0}
[3239]: {'stabilizer.yaw': -0.011002015322446823, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9127.0, 'hotpatch.measure_time': 2334724.0}
[3249]: {'stabilizer.yaw': -0.011038882657885551, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9326.0, 'hotpatch.measure_time': 2385309.0}
[3259]: {'stabilizer.yaw': -0.010688329115509987, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9508.0, 'hotpatch.measure_time': 2431426.0}
[3269]: {'stabilizer.yaw': -0.010186942294239998, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9694.0, 'hotpatch.measure_time': 2478902.0}
[3279]: {'stabilizer.yaw': -0.009999176487326622, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9880.0, 'hotpatch.measure_time': 2526409.0}
[3289]: {'stabilizer.yaw': -0.009614672511816025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 10068.0, 'hotpatch.measure_time': 2574411.0}
[3299]: {'stabilizer.yaw': -0.00928883720189333, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10247.0, 'hotpatch.measure_time': 2620154.0}
[3309]: {'stabilizer.yaw': -0.009731906466186047, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10442.0, 'hotpatch.measure_time': 2669801.0}
[3319]: {'stabilizer.yaw': -0.00989836547523737, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10626.0, 'hotpatch.measure_time': 2716550.0}
[3329]: {'stabilizer.yaw': -0.010696018114686012, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10813.0, 'hotpatch.measure_time': 2764327.0}
[3339]: {'stabilizer.yaw': -0.01044074073433876, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10997.0, 'hotpatch.measure_time': 2811358.0}
[3349]: {'stabilizer.yaw': -0.009827079251408577, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 11190.0, 'hotpatch.measure_time': 2860654.0}
[3359]: {'stabilizer.yaw': -0.010061927139759064, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 11385.0, 'hotpatch.measure_time': 2910511.0}
[3369]: {'stabilizer.yaw': -0.009700732305645943, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11581.0, 'hotpatch.measure_time': 2960475.0}
[3379]: {'stabilizer.yaw': -0.010223256424069405, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11770.0, 'hotpatch.measure_time': 3008683.0}
[3389]: {'stabilizer.yaw': -0.009467294439673424, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11904.0, 'hotpatch.measure_time': 3042959.0}
[3399]: {'stabilizer.yaw': -0.009545963257551193, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11995.0, 'hotpatch.measure_time': 3066280.0}
[3409]: {'stabilizer.yaw': -0.009980401024222374, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 12089.0, 'hotpatch.measure_time': 3090423.0}
[3419]: {'stabilizer.yaw': -0.010264110751450062, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 12182.0, 'hotpatch.measure_time': 3114208.0}
[3429]: {'stabilizer.yaw': -0.010020318441092968, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12275.0, 'hotpatch.measure_time': 3138074.0}
[3439]: {'stabilizer.yaw': -0.010652116499841213, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12366.0, 'hotpatch.measure_time': 3161389.0}
[3449]: {'stabilizer.yaw': -0.009686796925961971, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12459.0, 'hotpatch.measure_time': 3185233.0}
[3459]: {'stabilizer.yaw': -0.010348389856517315, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12550.0, 'hotpatch.measure_time': 3208532.0}
[3469]: {'stabilizer.yaw': -0.01106646191328764, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12645.0, 'hotpatch.measure_time': 3232811.0}
