[3148]: {'stabilizer.yaw': 0.0009428889607079327, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7392.0, 'hotpatch.measure_time': 1890659.0}
[3158]: {'stabilizer.yaw': 0.0009595302399247885, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7587.0, 'hotpatch.measure_time': 1939551.0}
[3168]: {'stabilizer.yaw': 0.0013250521151348948, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7771.0, 'hotpatch.measure_time': 1986684.0}
[3178]: {'stabilizer.yaw': 0.0017235581763088703, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7950.0, 'hotpatch.measure_time': 2032298.0}
[3188]: {'stabilizer.yaw': 0.0007305322797037661, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8133.0, 'hotpatch.measure_time': 2078726.0}
[3198]: {'stabilizer.yaw': 0.0005311380373314023, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8317.0, 'hotpatch.measure_time': 2125033.0}
[3208]: {'stabilizer.yaw': 0.00033047617762349546, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8495.0, 'hotpatch.measure_time': 2170592.0}
[3218]: {'stabilizer.yaw': 0.0008644270710647106, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8670.0, 'hotpatch.measure_time': 2215438.0}
[3228]: {'stabilizer.yaw': -2.004382804443594e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8841.0, 'hotpatch.measure_time': 2259188.0}
[3238]: {'stabilizer.yaw': 0.0007371846586465836, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9019.0, 'hotpatch.measure_time': 2304686.0}
[3248]: {'stabilizer.yaw': 0.001211922150105238, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9188.0, 'hotpatch.measure_time': 2347914.0}
[3258]: {'stabilizer.yaw': 0.0001988631411222741, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9358.0, 'hotpatch.measure_time': 2391408.0}
[3268]: {'stabilizer.yaw': -0.00013857697194907814, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9517.0, 'hotpatch.measure_time': 2432057.0}
[3278]: {'stabilizer.yaw': -0.0005357434856705368, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9687.0, 'hotpatch.measure_time': 2475130.0}
[3288]: {'stabilizer.yaw': 0.0004006466188002378, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9870.0, 'hotpatch.measure_time': 2521460.0}
[3298]: {'stabilizer.yaw': 0.0005547014879994094, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 10048.0, 'hotpatch.measure_time': 2565958.0}
[3308]: {'stabilizer.yaw': 0.0007508936687372625, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10214.0, 'hotpatch.measure_time': 2608121.0}
[3318]: {'stabilizer.yaw': 0.00039494060911238194, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10362.0, 'hotpatch.measure_time': 2645433.0}
[3328]: {'stabilizer.yaw': 0.0006535042775794864, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10518.0, 'hotpatch.measure_time': 2684912.0}
[3338]: {'stabilizer.yaw': 0.0015786977019160986, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10680.0, 'hotpatch.measure_time': 2725802.0}
[3348]: {'stabilizer.yaw': 0.0017196579137817025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 10824.0, 'hotpatch.measure_time': 2762737.0}
[3358]: {'stabilizer.yaw': 0.002185003599151969, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 10968.0, 'hotpatch.measure_time': 2799303.0}
[3368]: {'stabilizer.yaw': 0.0026564220897853374, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11137.0, 'hotpatch.measure_time': 2842211.0}
[3378]: {'stabilizer.yaw': 0.0034434637054800987, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11321.0, 'hotpatch.measure_time': 2889029.0}
[3388]: {'stabilizer.yaw': 0.0023592920042574406, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11498.0, 'hotpatch.measure_time': 2934317.0}
[3398]: {'stabilizer.yaw': 0.0029953191988170147, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11662.0, 'hotpatch.measure_time': 2975738.0}
[3408]: {'stabilizer.yaw': 0.00270768697373569, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11846.0, 'hotpatch.measure_time': 3022106.0}
[3418]: {'stabilizer.yaw': 0.0025464948266744614, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 12030.0, 'hotpatch.measure_time': 3068240.0}
[3428]: {'stabilizer.yaw': 0.0034909178502857685, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12129.0, 'hotpatch.measure_time': 3093560.0}
[3438]: {'stabilizer.yaw': 0.0035867129918187857, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12220.0, 'hotpatch.measure_time': 3116876.0}
[3448]: {'stabilizer.yaw': 0.004805125296115875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12313.0, 'hotpatch.measure_time': 3140703.0}
[3458]: {'stabilizer.yaw': 0.004855180159211159, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12404.0, 'hotpatch.measure_time': 3164020.0}
[3468]: {'stabilizer.yaw': 0.00535797793418169, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12499.0, 'hotpatch.measure_time': 3188302.0}
[3478]: {'stabilizer.yaw': 0.006116908509284258, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12590.0, 'hotpatch.measure_time': 3211616.0}
[3488]: {'stabilizer.yaw': 0.006031762342900038, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12683.0, 'hotpatch.measure_time': 3235444.0}
[3498]: {'stabilizer.yaw': 0.006068515591323376, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 12774.0, 'hotpatch.measure_time': 3258760.0}
[3508]: {'stabilizer.yaw': 0.006766495294868946, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12868.0, 'hotpatch.measure_time': 3282832.0}
[3518]: {'stabilizer.yaw': 0.0068032629787921906, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 12960.0, 'hotpatch.measure_time': 3306403.0}
[3528]: {'stabilizer.yaw': 0.005838755518198013, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13053.0, 'hotpatch.measure_time': 3330209.0}
[3538]: {'stabilizer.yaw': 0.005457015708088875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13144.0, 'hotpatch.measure_time': 3353522.0}
[3548]: {'stabilizer.yaw': 0.004985584411770105, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13237.0, 'hotpatch.measure_time': 3377330.0}
[3558]: {'stabilizer.yaw': 0.004810630809515715, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13328.0, 'hotpatch.measure_time': 3400648.0}
[3568]: {'stabilizer.yaw': 0.004883591551333666, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13421.0, 'hotpatch.measure_time': 3424456.0}
[3578]: {'stabilizer.yaw': 0.004101582337170839, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13512.0, 'hotpatch.measure_time': 3447771.0}
[3588]: {'stabilizer.yaw': 0.005681273527443409, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13605.0, 'hotpatch.measure_time': 3471578.0}
