[3154]: {'stabilizer.yaw': 0.000264657661318779, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7459.0, 'hotpatch.measure_time': 2132686.0}
[3164]: {'stabilizer.yaw': 0.0002576426195446402, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7657.0, 'hotpatch.measure_time': 2189600.0}
[3174]: {'stabilizer.yaw': 0.0006536350701935589, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7836.0, 'hotpatch.measure_time': 2241261.0}
[3184]: {'stabilizer.yaw': 0.0008415031479671597, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8017.0, 'hotpatch.measure_time': 2293405.0}
[3194]: {'stabilizer.yaw': 0.00010109369759447873, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8215.0, 'hotpatch.measure_time': 2350428.0}
[3204]: {'stabilizer.yaw': 9.175474406220019e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8404.0, 'hotpatch.measure_time': 2404735.0}
[3214]: {'stabilizer.yaw': 0.0003620040661189705, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8590.0, 'hotpatch.measure_time': 2457540.0}
[3224]: {'stabilizer.yaw': -0.0001978984655579552, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8789.0, 'hotpatch.measure_time': 2514846.0}
[3234]: {'stabilizer.yaw': -0.00038987345760688186, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8986.0, 'hotpatch.measure_time': 2571298.0}
[3244]: {'stabilizer.yaw': -0.0007172075565904379, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9186.0, 'hotpatch.measure_time': 2628852.0}
[3254]: {'stabilizer.yaw': -0.000568684539757669, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9383.0, 'hotpatch.measure_time': 2685297.0}
[3264]: {'stabilizer.yaw': -0.0007407049997709692, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9582.0, 'hotpatch.measure_time': 2742593.0}
[3274]: {'stabilizer.yaw': -0.0013606622815132141, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9779.0, 'hotpatch.measure_time': 2799290.0}
