[3157]: {'stabilizer.yaw': 0.0017837253399193287, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7421.0, 'hotpatch.measure_time': 1904823.0}
[3167]: {'stabilizer.yaw': 0.002573037752881646, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7566.0, 'hotpatch.measure_time': 1941727.0}
[3177]: {'stabilizer.yaw': 0.0027470856439322233, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7705.0, 'hotpatch.measure_time': 1977425.0}
[3187]: {'stabilizer.yaw': 0.0028653445187956095, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7843.0, 'hotpatch.measure_time': 2012806.0}
[3197]: {'stabilizer.yaw': 0.004539825022220612, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7981.0, 'hotpatch.measure_time': 2048178.0}
[3207]: {'stabilizer.yaw': 0.00521319592371583, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8122.0, 'hotpatch.measure_time': 2084249.0}
[3217]: {'stabilizer.yaw': 0.005541082005947828, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8297.0, 'hotpatch.measure_time': 2129050.0}
[3227]: {'stabilizer.yaw': 0.004662439227104187, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8441.0, 'hotpatch.measure_time': 2165946.0}
[3237]: {'stabilizer.yaw': 0.0052288915030658245, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8575.0, 'hotpatch.measure_time': 2200295.0}
[3247]: {'stabilizer.yaw': 0.004080763552337885, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8717.0, 'hotpatch.measure_time': 2236656.0}
[3257]: {'stabilizer.yaw': 0.0033849882893264294, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8859.0, 'hotpatch.measure_time': 2273024.0}
[3267]: {'stabilizer.yaw': 0.00372335291467607, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9039.0, 'hotpatch.measure_time': 2319077.0}
[3277]: {'stabilizer.yaw': 0.005045553203672171, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9218.0, 'hotpatch.measure_time': 2364572.0}
[3287]: {'stabilizer.yaw': 0.004893370438367128, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9368.0, 'hotpatch.measure_time': 2402955.0}
[3297]: {'stabilizer.yaw': 0.005082041956484318, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9535.0, 'hotpatch.measure_time': 2445135.0}
