[3152]: {'stabilizer.yaw': -0.00032601234852336347, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7418.0, 'hotpatch.measure_time': 1900526.0}
[3162]: {'stabilizer.yaw': -0.0007434659055434167, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7606.0, 'hotpatch.measure_time': 1948403.0}
[3172]: {'stabilizer.yaw': -0.0012254120083525777, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7789.0, 'hotpatch.measure_time': 1994972.0}
[3182]: {'stabilizer.yaw': -0.0015950518427416682, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7972.0, 'hotpatch.measure_time': 2041763.0}
[3192]: {'stabilizer.yaw': -0.0020554845687001944, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8151.0, 'hotpatch.measure_time': 2087586.0}
[3202]: {'stabilizer.yaw': -0.001257111201994121, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8317.0, 'hotpatch.measure_time': 2129994.0}
[3212]: {'stabilizer.yaw': -0.00095201755175367, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8499.0, 'hotpatch.measure_time': 2175867.0}
[3222]: {'stabilizer.yaw': -0.0015946717467159033, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8683.0, 'hotpatch.measure_time': 2222383.0}
[3232]: {'stabilizer.yaw': -0.0007189677562564611, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8855.0, 'hotpatch.measure_time': 2266268.0}
[3242]: {'stabilizer.yaw': -9.617097384762019e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9054.0, 'hotpatch.measure_time': 2317013.0}
[3252]: {'stabilizer.yaw': 0.0007297047413885593, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9238.0, 'hotpatch.measure_time': 2363703.0}
[3262]: {'stabilizer.yaw': 0.0005362186930142343, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9428.0, 'hotpatch.measure_time': 2412110.0}
[3272]: {'stabilizer.yaw': 0.0004988460568711162, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9616.0, 'hotpatch.measure_time': 2459932.0}
[3282]: {'stabilizer.yaw': -9.7836040367838e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9793.0, 'hotpatch.measure_time': 2505067.0}
[3292]: {'stabilizer.yaw': 0.00012192437861813232, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9981.0, 'hotpatch.measure_time': 2552675.0}
[3302]: {'stabilizer.yaw': 0.0005822548409923911, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10171.0, 'hotpatch.measure_time': 2600898.0}
