[3147]: {'stabilizer.yaw': 0.0009245226974599063, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7347.0, 'hotpatch.measure_time': 1875754.0}
[3157]: {'stabilizer.yaw': 0.002617889316752553, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7504.0, 'hotpatch.measure_time': 1916160.0}
[3167]: {'stabilizer.yaw': 0.0027419766411185265, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7700.0, 'hotpatch.measure_time': 1965990.0}
[3177]: {'stabilizer.yaw': 0.0031433727126568556, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7890.0, 'hotpatch.measure_time': 2014593.0}
[3187]: {'stabilizer.yaw': 0.0036016760859638453, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8080.0, 'hotpatch.measure_time': 2063385.0}
[3197]: {'stabilizer.yaw': 0.003961300477385521, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8271.0, 'hotpatch.measure_time': 2112471.0}
[3207]: {'stabilizer.yaw': 0.0034580121282488108, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8467.0, 'hotpatch.measure_time': 2162782.0}
[3217]: {'stabilizer.yaw': 0.003802553517743945, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8664.0, 'hotpatch.measure_time': 2213391.0}
[3227]: {'stabilizer.yaw': 0.003188465954735875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8864.0, 'hotpatch.measure_time': 2264651.0}
[3237]: {'stabilizer.yaw': 0.002433805726468563, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9054.0, 'hotpatch.measure_time': 2313341.0}
[3247]: {'stabilizer.yaw': 0.0030708028934895992, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9243.0, 'hotpatch.measure_time': 2361780.0}
[3257]: {'stabilizer.yaw': 0.002628267975524068, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9438.0, 'hotpatch.measure_time': 2411658.0}
[3267]: {'stabilizer.yaw': 0.002623447449877858, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9615.0, 'hotpatch.measure_time': 2456921.0}
