[3419]: {'stabilizer.yaw': -0.005528299603611231, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11609.0, 'hotpatch.measure_time': 3325767.0}
[3429]: {'stabilizer.yaw': -0.005623569246381521, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11795.0, 'hotpatch.measure_time': 3379220.0}
[3439]: {'stabilizer.yaw': -0.006659774575382471, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 11972.0, 'hotpatch.measure_time': 3429709.0}
[3449]: {'stabilizer.yaw': -0.007527399342507124, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12157.0, 'hotpatch.measure_time': 3482713.0}
[3459]: {'stabilizer.yaw': -0.007813467644155025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12347.0, 'hotpatch.measure_time': 3537276.0}
[3469]: {'stabilizer.yaw': -0.007834019139409065, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12544.0, 'hotpatch.measure_time': 3593510.0}
[3479]: {'stabilizer.yaw': -0.007636081427335739, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12701.0, 'hotpatch.measure_time': 3638529.0}
[3489]: {'stabilizer.yaw': -0.008092421106994152, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12856.0, 'hotpatch.measure_time': 3682981.0}
[3499]: {'stabilizer.yaw': -0.009101210162043571, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12952.0, 'hotpatch.measure_time': 3710695.0}
[3509]: {'stabilizer.yaw': -0.009732406586408615, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 13043.0, 'hotpatch.measure_time': 3736984.0}
[3519]: {'stabilizer.yaw': -0.009376547299325466, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 13136.0, 'hotpatch.measure_time': 3763824.0}
[3529]: {'stabilizer.yaw': -0.008944069966673851, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 13227.0, 'hotpatch.measure_time': 3790111.0}
[3539]: {'stabilizer.yaw': -0.008904024958610535, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13320.0, 'hotpatch.measure_time': 3816953.0}
[3549]: {'stabilizer.yaw': -0.008101074025034904, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13411.0, 'hotpatch.measure_time': 3843240.0}
[3559]: {'stabilizer.yaw': -0.009091116487979889, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13504.0, 'hotpatch.measure_time': 3870082.0}
[3569]: {'stabilizer.yaw': -0.010113733820617199, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13595.0, 'hotpatch.measure_time': 3896368.0}
[3579]: {'stabilizer.yaw': -0.010218821465969086, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13688.0, 'hotpatch.measure_time': 3923211.0}
[3589]: {'stabilizer.yaw': -0.010969117283821106, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13781.0, 'hotpatch.measure_time': 3950021.0}
[3599]: {'stabilizer.yaw': -0.01001082081347704, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13876.0, 'hotpatch.measure_time': 3977182.0}
