[3148]: {'stabilizer.yaw': 0.0022133963648229837, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7375.0, 'hotpatch.measure_time': 2118870.0}
[3158]: {'stabilizer.yaw': 0.0019171901512891054, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7551.0, 'hotpatch.measure_time': 2169287.0}
[3168]: {'stabilizer.yaw': 0.0013731175567954779, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7741.0, 'hotpatch.measure_time': 2224060.0}
[3178]: {'stabilizer.yaw': 0.0016646153526380658, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 7934.0, 'hotpatch.measure_time': 2278997.0}
[3188]: {'stabilizer.yaw': 0.0009428153862245381, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8128.0, 'hotpatch.measure_time': 2334547.0}
[3198]: {'stabilizer.yaw': 0.0014060683315619826, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8321.0, 'hotpatch.measure_time': 2388876.0}
[3208]: {'stabilizer.yaw': 0.0022651569452136755, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8508.0, 'hotpatch.measure_time': 2442818.0}
[3218]: {'stabilizer.yaw': 0.004124783910810947, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8695.0, 'hotpatch.measure_time': 2496756.0}
[3228]: {'stabilizer.yaw': 0.004492690321058035, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8884.0, 'hotpatch.measure_time': 2550420.0}
[3238]: {'stabilizer.yaw': 0.004721375182271004, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9059.0, 'hotpatch.measure_time': 2600813.0}
[3248]: {'stabilizer.yaw': 0.004749116487801075, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9245.0, 'hotpatch.measure_time': 2653483.0}
