[3151]: {'stabilizer.yaw': 0.0005736561142839491, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7182.0, 'hotpatch.measure_time': 1344097.0}
[3161]: {'stabilizer.yaw': 5.542070539377164e-06, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7378.0, 'hotpatch.measure_time': 1381246.0}
[3171]: {'stabilizer.yaw': 0.0006565038929693401, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7574.0, 'hotpatch.measure_time': 1418422.0}
[3181]: {'stabilizer.yaw': 0.0006614860612899065, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7762.0, 'hotpatch.measure_time': 1454077.0}
[3191]: {'stabilizer.yaw': 0.001009905943647027, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7958.0, 'hotpatch.measure_time': 1491195.0}
[3201]: {'stabilizer.yaw': 0.0013119801878929138, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8136.0, 'hotpatch.measure_time': 1524911.0}
[3211]: {'stabilizer.yaw': 0.0017460311064496636, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8332.0, 'hotpatch.measure_time': 1562103.0}
[3221]: {'stabilizer.yaw': 0.0004035226011183113, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8497.0, 'hotpatch.measure_time': 1593206.0}
[3231]: {'stabilizer.yaw': 0.0011028192238882184, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8692.0, 'hotpatch.measure_time': 1630198.0}
[3241]: {'stabilizer.yaw': 0.0010499510681256652, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8889.0, 'hotpatch.measure_time': 1667568.0}
[3251]: {'stabilizer.yaw': 0.0012875351822003722, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9082.0, 'hotpatch.measure_time': 1704165.0}
[3261]: {'stabilizer.yaw': 0.0018652479629963636, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9277.0, 'hotpatch.measure_time': 1741159.0}
[3271]: {'stabilizer.yaw': 0.0020543495193123817, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9470.0, 'hotpatch.measure_time': 1777697.0}
[3281]: {'stabilizer.yaw': 0.0021527004428207874, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9666.0, 'hotpatch.measure_time': 1814648.0}
[3291]: {'stabilizer.yaw': 0.0024994949344545603, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9852.0, 'hotpatch.measure_time': 1849600.0}
[3301]: {'stabilizer.yaw': 0.0036316837649792433, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10042.0, 'hotpatch.measure_time': 1885602.0}
[3311]: {'stabilizer.yaw': 0.0037956463638693094, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10224.0, 'hotpatch.measure_time': 1920110.0}
[3321]: {'stabilizer.yaw': 0.0041773635894060135, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10421.0, 'hotpatch.measure_time': 1957029.0}
[3331]: {'stabilizer.yaw': 0.004585847724229097, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10609.0, 'hotpatch.measure_time': 1992511.0}
[3341]: {'stabilizer.yaw': 0.004324357025325298, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10795.0, 'hotpatch.measure_time': 2027618.0}
[3351]: {'stabilizer.yaw': 0.0039474088698625565, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10983.0, 'hotpatch.measure_time': 2063003.0}
[3361]: {'stabilizer.yaw': 0.0035388099495321512, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11167.0, 'hotpatch.measure_time': 2097691.0}
[3371]: {'stabilizer.yaw': 0.003202523570507765, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11332.0, 'hotpatch.measure_time': 2128516.0}
[3381]: {'stabilizer.yaw': 0.003936224151402712, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11497.0, 'hotpatch.measure_time': 2158779.0}
[3391]: {'stabilizer.yaw': 0.004290237091481686, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11615.0, 'hotpatch.measure_time': 2180465.0}
[3401]: {'stabilizer.yaw': 0.004326874390244484, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11709.0, 'hotpatch.measure_time': 2198240.0}
[3411]: {'stabilizer.yaw': 0.004130157642066479, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11801.0, 'hotpatch.measure_time': 2215617.0}
