[3148]: {'stabilizer.yaw': -0.006591662298887968, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7191.0, 'hotpatch.measure_time': 1338857.0}
[3158]: {'stabilizer.yaw': -0.006391262635588646, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7385.0, 'hotpatch.measure_time': 1375388.0}
[3168]: {'stabilizer.yaw': -0.00649817893281579, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7575.0, 'hotpatch.measure_time': 1411049.0}
[3178]: {'stabilizer.yaw': -0.005896586459130049, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7763.0, 'hotpatch.measure_time': 1446723.0}
[3188]: {'stabilizer.yaw': -0.005024852231144905, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7948.0, 'hotpatch.measure_time': 1481681.0}
[3198]: {'stabilizer.yaw': -0.006078493315726519, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8145.0, 'hotpatch.measure_time': 1519059.0}
[3208]: {'stabilizer.yaw': -0.005487397313117981, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8331.0, 'hotpatch.measure_time': 1554120.0}
[3218]: {'stabilizer.yaw': -0.006847989745438099, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8527.0, 'hotpatch.measure_time': 1591152.0}
[3228]: {'stabilizer.yaw': -0.006756613031029701, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8713.0, 'hotpatch.measure_time': 1626385.0}
[3238]: {'stabilizer.yaw': -0.005265877116471529, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8909.0, 'hotpatch.measure_time': 1663519.0}
[3248]: {'stabilizer.yaw': -0.0048223272897303104, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9095.0, 'hotpatch.measure_time': 1698732.0}
[3258]: {'stabilizer.yaw': -0.0031867236830294132, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9280.0, 'hotpatch.measure_time': 1733775.0}
[3268]: {'stabilizer.yaw': -0.0031333002261817455, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9466.0, 'hotpatch.measure_time': 1768993.0}
[3278]: {'stabilizer.yaw': -0.002979565877467394, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9662.0, 'hotpatch.measure_time': 1806116.0}
[3288]: {'stabilizer.yaw': -0.0026277280412614346, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9860.0, 'hotpatch.measure_time': 1843491.0}
[3298]: {'stabilizer.yaw': -0.002305402886122465, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10055.0, 'hotpatch.measure_time': 1880440.0}
[3308]: {'stabilizer.yaw': -0.0015982685144990683, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10244.0, 'hotpatch.measure_time': 1916084.0}
[3318]: {'stabilizer.yaw': -0.0013959985226392746, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10431.0, 'hotpatch.measure_time': 1951505.0}
[3328]: {'stabilizer.yaw': -0.0009150390978902578, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10629.0, 'hotpatch.measure_time': 1988996.0}
[3338]: {'stabilizer.yaw': -0.0011411452433094382, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10814.0, 'hotpatch.measure_time': 2024013.0}
[3348]: {'stabilizer.yaw': -0.0014800741337239742, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11000.0, 'hotpatch.measure_time': 2059260.0}
[3358]: {'stabilizer.yaw': -0.0014488642336800694, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11165.0, 'hotpatch.measure_time': 2090497.0}
[3368]: {'stabilizer.yaw': -0.0009454959072172642, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11340.0, 'hotpatch.measure_time': 2123621.0}
