[3418]: {'stabilizer.yaw': -0.011570963077247143, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11998.0, 'hotpatch.measure_time': 3453312.0}
[3428]: {'stabilizer.yaw': -0.009114774875342846, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12146.0, 'hotpatch.measure_time': 3495396.0}
[3438]: {'stabilizer.yaw': -0.00952964462339878, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12279.0, 'hotpatch.measure_time': 3533541.0}
[3448]: {'stabilizer.yaw': -0.009142562747001648, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12372.0, 'hotpatch.measure_time': 3560237.0}
[3458]: {'stabilizer.yaw': -0.00887192040681839, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12464.0, 'hotpatch.measure_time': 3586673.0}
[3468]: {'stabilizer.yaw': -0.008958252146840096, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12559.0, 'hotpatch.measure_time': 3613958.0}
[3478]: {'stabilizer.yaw': -0.008286611177027225, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12650.0, 'hotpatch.measure_time': 3640091.0}
[3488]: {'stabilizer.yaw': -0.009830365888774395, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12743.0, 'hotpatch.measure_time': 3666849.0}
[3498]: {'stabilizer.yaw': -0.00918358564376831, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 12834.0, 'hotpatch.measure_time': 3693026.0}
[3508]: {'stabilizer.yaw': -0.0090352026745677, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12928.0, 'hotpatch.measure_time': 3720066.0}
[3518]: {'stabilizer.yaw': -0.00983726792037487, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 13019.0, 'hotpatch.measure_time': 3746233.0}
[3528]: {'stabilizer.yaw': -0.01015459280461073, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13112.0, 'hotpatch.measure_time': 3772945.0}
[3538]: {'stabilizer.yaw': -0.010776217095553875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13205.0, 'hotpatch.measure_time': 3799628.0}
[3548]: {'stabilizer.yaw': -0.012248148210346699, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13298.0, 'hotpatch.measure_time': 3826432.0}
[3558]: {'stabilizer.yaw': -0.012416807003319263, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13389.0, 'hotpatch.measure_time': 3852704.0}
[3568]: {'stabilizer.yaw': -0.012609688565135002, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13482.0, 'hotpatch.measure_time': 3879520.0}
[3578]: {'stabilizer.yaw': -0.012751313857734203, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13571.0, 'hotpatch.measure_time': 3905249.0}
[3588]: {'stabilizer.yaw': -0.012568522244691849, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13661.0, 'hotpatch.measure_time': 3931316.0}
[3598]: {'stabilizer.yaw': -0.013116038404405117, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 253.0, 'hotpatch.context_switches': 13750.0, 'hotpatch.measure_time': 3956864.0}
