[3150]: {'stabilizer.yaw': 0.0013055294984951615, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 206.0, 'hotpatch.context_switches': 7373.0, 'hotpatch.measure_time': 1887912.0}
[3160]: {'stabilizer.yaw': 0.0001735886326059699, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7571.0, 'hotpatch.measure_time': 1938677.0}
[3170]: {'stabilizer.yaw': -0.00028606216073967516, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7762.0, 'hotpatch.measure_time': 1987734.0}
[3180]: {'stabilizer.yaw': -0.00033106672344729304, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7960.0, 'hotpatch.measure_time': 2038199.0}
[3190]: {'stabilizer.yaw': 0.0003186756803188473, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8144.0, 'hotpatch.measure_time': 2085473.0}
[3200]: {'stabilizer.yaw': 0.0005081396666355431, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8333.0, 'hotpatch.measure_time': 2133934.0}
[3210]: {'stabilizer.yaw': 0.0010226466692984104, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8530.0, 'hotpatch.measure_time': 2184492.0}
[3220]: {'stabilizer.yaw': -0.00032435194589197636, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8709.0, 'hotpatch.measure_time': 2230470.0}
[3230]: {'stabilizer.yaw': 0.0011260793544352055, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8886.0, 'hotpatch.measure_time': 2275674.0}
[3240]: {'stabilizer.yaw': 0.0004328527138568461, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 9065.0, 'hotpatch.measure_time': 2321630.0}
[3250]: {'stabilizer.yaw': -0.00018231694411952049, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9232.0, 'hotpatch.measure_time': 2364416.0}
[3260]: {'stabilizer.yaw': -0.0013456075685098767, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9430.0, 'hotpatch.measure_time': 2415111.0}
[3270]: {'stabilizer.yaw': -0.0020577115938067436, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9616.0, 'hotpatch.measure_time': 2462749.0}
[3280]: {'stabilizer.yaw': -0.0017258262960240245, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9762.0, 'hotpatch.measure_time': 2500105.0}
[3290]: {'stabilizer.yaw': -0.0022291766945272684, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9924.0, 'hotpatch.measure_time': 2541576.0}
[3300]: {'stabilizer.yaw': -0.0017979663098230958, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 10077.0, 'hotpatch.measure_time': 2580607.0}
