[3151]: {'stabilizer.yaw': 0.00643738592043519, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7386.0, 'hotpatch.measure_time': 2127441.0}
[3161]: {'stabilizer.yaw': 0.006896214094012976, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7574.0, 'hotpatch.measure_time': 2181678.0}
[3171]: {'stabilizer.yaw': 0.007507834583520889, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7754.0, 'hotpatch.measure_time': 2233567.0}
[3181]: {'stabilizer.yaw': 0.006755956448614597, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7931.0, 'hotpatch.measure_time': 2284612.0}
[3191]: {'stabilizer.yaw': 0.007367413025349379, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8118.0, 'hotpatch.measure_time': 2338570.0}
[3201]: {'stabilizer.yaw': 0.007050954736769199, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8308.0, 'hotpatch.measure_time': 2393097.0}
[3211]: {'stabilizer.yaw': 0.007691460195928812, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8489.0, 'hotpatch.measure_time': 2445298.0}
[3221]: {'stabilizer.yaw': 0.006073963362723589, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8647.0, 'hotpatch.measure_time': 2490734.0}
[3231]: {'stabilizer.yaw': -0.006939759477972984, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8827.0, 'hotpatch.measure_time': 2542119.0}
[3241]: {'stabilizer.yaw': -0.007325044833123684, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8991.0, 'hotpatch.measure_time': 2588868.0}
[3251]: {'stabilizer.yaw': -0.007859481498599052, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9174.0, 'hotpatch.measure_time': 2641420.0}
[3261]: {'stabilizer.yaw': -0.008182521909475327, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9360.0, 'hotpatch.measure_time': 2695035.0}
[3271]: {'stabilizer.yaw': -0.008670184761285782, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9547.0, 'hotpatch.measure_time': 2749025.0}
[3281]: {'stabilizer.yaw': -0.008323385380208492, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9720.0, 'hotpatch.measure_time': 2798766.0}
[3291]: {'stabilizer.yaw': -0.008502040058374405, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9889.0, 'hotpatch.measure_time': 2847129.0}
[3301]: {'stabilizer.yaw': -0.007315414026379585, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10048.0, 'hotpatch.measure_time': 2892807.0}
[3311]: {'stabilizer.yaw': -0.008696445263922215, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10219.0, 'hotpatch.measure_time': 2941315.0}
