[3148]: {'stabilizer.yaw': 0.007792784366756678, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 206.0, 'hotpatch.context_switches': 7370.0, 'hotpatch.measure_time': 2114500.0}
[3158]: {'stabilizer.yaw': 0.008217702619731426, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7562.0, 'hotpatch.measure_time': 2169653.0}
[3168]: {'stabilizer.yaw': 0.008422826416790485, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7758.0, 'hotpatch.measure_time': 2224523.0}
[3178]: {'stabilizer.yaw': 0.00869491882622242, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7950.0, 'hotpatch.measure_time': 2279023.0}
[3188]: {'stabilizer.yaw': 0.009684715420007706, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8143.0, 'hotpatch.measure_time': 2334286.0}
[3198]: {'stabilizer.yaw': 0.009380081668496132, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8341.0, 'hotpatch.measure_time': 2391017.0}
[3208]: {'stabilizer.yaw': 0.00906970165669918, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8538.0, 'hotpatch.measure_time': 2447498.0}
[3218]: {'stabilizer.yaw': 0.00777452765032649, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8735.0, 'hotpatch.measure_time': 2503845.0}
[3228]: {'stabilizer.yaw': 0.007540714927017689, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8933.0, 'hotpatch.measure_time': 2560490.0}
[3238]: {'stabilizer.yaw': 0.008121263235807419, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 9121.0, 'hotpatch.measure_time': 2614481.0}
[3248]: {'stabilizer.yaw': 0.008318481035530567, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9315.0, 'hotpatch.measure_time': 2670139.0}
[3258]: {'stabilizer.yaw': 0.009714458137750626, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9505.0, 'hotpatch.measure_time': 2724784.0}
[3268]: {'stabilizer.yaw': 0.010676013305783272, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9679.0, 'hotpatch.measure_time': 2774472.0}
[3278]: {'stabilizer.yaw': 0.010546510107815266, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9870.0, 'hotpatch.measure_time': 2828991.0}
[3288]: {'stabilizer.yaw': 0.009955664165318012, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 10037.0, 'hotpatch.measure_time': 2876858.0}
[3298]: {'stabilizer.yaw': 0.008019025437533855, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 10204.0, 'hotpatch.measure_time': 2924742.0}
[3308]: {'stabilizer.yaw': 0.008833656087517738, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 10354.0, 'hotpatch.measure_time': 2967759.0}
[3318]: {'stabilizer.yaw': 0.00962259341031313, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10499.0, 'hotpatch.measure_time': 3009287.0}
[3328]: {'stabilizer.yaw': 0.009720255620777607, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10648.0, 'hotpatch.measure_time': 3051988.0}
[3338]: {'stabilizer.yaw': 0.010347501374781132, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10795.0, 'hotpatch.measure_time': 3094083.0}
[3348]: {'stabilizer.yaw': 0.009708685800433159, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10941.0, 'hotpatch.measure_time': 3135928.0}
[3358]: {'stabilizer.yaw': 0.009417791850864887, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 11086.0, 'hotpatch.measure_time': 3177445.0}
[3368]: {'stabilizer.yaw': 0.011267958208918571, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 11233.0, 'hotpatch.measure_time': 3219558.0}
[3378]: {'stabilizer.yaw': 0.010280465707182884, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 11388.0, 'hotpatch.measure_time': 3263970.0}
[3388]: {'stabilizer.yaw': 0.010021470487117767, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11534.0, 'hotpatch.measure_time': 3305807.0}
