[3419]: {'stabilizer.yaw': 0.0020514666102826595, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11396.0, 'hotpatch.measure_time': 2919627.0}
[3429]: {'stabilizer.yaw': 0.0009414932574145496, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 11543.0, 'hotpatch.measure_time': 2957398.0}
[3439]: {'stabilizer.yaw': 0.0010243285214528441, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 11690.0, 'hotpatch.measure_time': 2995147.0}
[3449]: {'stabilizer.yaw': 0.0002854880294762552, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 11831.0, 'hotpatch.measure_time': 3031010.0}
[3459]: {'stabilizer.yaw': -0.0002738685579970479, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12004.0, 'hotpatch.measure_time': 3075171.0}
[3469]: {'stabilizer.yaw': -0.0003323550627101213, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12167.0, 'hotpatch.measure_time': 3116621.0}
[3479]: {'stabilizer.yaw': -0.00017367249529343098, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12368.0, 'hotpatch.measure_time': 3168066.0}
[3489]: {'stabilizer.yaw': 0.0003958371817134321, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 12558.0, 'hotpatch.measure_time': 3216448.0}
[3499]: {'stabilizer.yaw': 0.000622584717348218, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12756.0, 'hotpatch.measure_time': 3266854.0}
[3509]: {'stabilizer.yaw': -8.74630204634741e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 12952.0, 'hotpatch.measure_time': 3317274.0}
[3519]: {'stabilizer.yaw': -3.774357173824683e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13056.0, 'hotpatch.measure_time': 3344058.0}
[3529]: {'stabilizer.yaw': 0.0005779120256192982, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13147.0, 'hotpatch.measure_time': 3367526.0}
[3539]: {'stabilizer.yaw': 0.0014269587118178606, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13240.0, 'hotpatch.measure_time': 3391487.0}
[3549]: {'stabilizer.yaw': 0.0013478456530719995, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13331.0, 'hotpatch.measure_time': 3414946.0}
[3559]: {'stabilizer.yaw': 0.0011606353800743818, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13424.0, 'hotpatch.measure_time': 3438882.0}
[3569]: {'stabilizer.yaw': 0.001963973045349121, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13515.0, 'hotpatch.measure_time': 3462296.0}
[3579]: {'stabilizer.yaw': 0.0027184197679162025, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13608.0, 'hotpatch.measure_time': 3486169.0}
[3589]: {'stabilizer.yaw': 0.0021383462008088827, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 253.0, 'hotpatch.context_switches': 13699.0, 'hotpatch.measure_time': 3509543.0}
[3599]: {'stabilizer.yaw': 0.0015706830890849233, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 254.0, 'hotpatch.context_switches': 13793.0, 'hotpatch.measure_time': 3533658.0}
[3609]: {'stabilizer.yaw': 0.002614822471514344, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 255.0, 'hotpatch.context_switches': 13882.0, 'hotpatch.measure_time': 3556610.0}
[3619]: {'stabilizer.yaw': 0.003396953223273158, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 256.0, 'hotpatch.context_switches': 13973.0, 'hotpatch.measure_time': 3580044.0}
[3629]: {'stabilizer.yaw': 0.0026181163266301155, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 257.0, 'hotpatch.context_switches': 14065.0, 'hotpatch.measure_time': 3603543.0}
[3639]: {'stabilizer.yaw': 0.0033297354821115732, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 258.0, 'hotpatch.context_switches': 14156.0, 'hotpatch.measure_time': 3626733.0}
[3649]: {'stabilizer.yaw': 0.0036631780676543713, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 259.0, 'hotpatch.context_switches': 14247.0, 'hotpatch.measure_time': 3649936.0}
[3659]: {'stabilizer.yaw': 0.004219694063067436, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 260.0, 'hotpatch.context_switches': 14340.0, 'hotpatch.measure_time': 3673846.0}
[3669]: {'stabilizer.yaw': 0.004076042212545872, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 261.0, 'hotpatch.context_switches': 14430.0, 'hotpatch.measure_time': 3697017.0}
