[3153]: {'stabilizer.yaw': 0.005428433883935213, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 206.0, 'hotpatch.context_switches': 7404.0, 'hotpatch.measure_time': 2132714.0}
[3163]: {'stabilizer.yaw': 0.005287576466798782, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7590.0, 'hotpatch.measure_time': 2185814.0}
[3173]: {'stabilizer.yaw': 0.005971606820821762, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7786.0, 'hotpatch.measure_time': 2241907.0}
[3183]: {'stabilizer.yaw': 0.00569603918120265, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7975.0, 'hotpatch.measure_time': 2295749.0}
[3193]: {'stabilizer.yaw': 0.005998332053422928, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8171.0, 'hotpatch.measure_time': 2352063.0}
[3203]: {'stabilizer.yaw': 0.005959132220596075, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8357.0, 'hotpatch.measure_time': 2405337.0}
[3213]: {'stabilizer.yaw': 0.005693831015378237, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8551.0, 'hotpatch.measure_time': 2460986.0}
[3223]: {'stabilizer.yaw': 0.005166403949260712, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8743.0, 'hotpatch.measure_time': 2515907.0}
[3233]: {'stabilizer.yaw': 0.006217065267264843, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8936.0, 'hotpatch.measure_time': 2571290.0}
[3243]: {'stabilizer.yaw': 0.006540871225297451, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 9135.0, 'hotpatch.measure_time': 2628224.0}
[3253]: {'stabilizer.yaw': 0.006100181024521589, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9330.0, 'hotpatch.measure_time': 2684151.0}
[3263]: {'stabilizer.yaw': 0.0058055780827999115, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9523.0, 'hotpatch.measure_time': 2739525.0}
