[3154]: {'stabilizer.yaw': 0.004297210834920406, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7227.0, 'hotpatch.measure_time': 1348341.0}
[3164]: {'stabilizer.yaw': 0.004214495420455933, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7425.0, 'hotpatch.measure_time': 1385879.0}
[3174]: {'stabilizer.yaw': 0.00607735849916935, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7610.0, 'hotpatch.measure_time': 1420781.0}
[3184]: {'stabilizer.yaw': 0.006426358595490456, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7808.0, 'hotpatch.measure_time': 1458284.0}
[3194]: {'stabilizer.yaw': 0.008019021712243557, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8004.0, 'hotpatch.measure_time': 1495401.0}
[3204]: {'stabilizer.yaw': 0.007472713012248278, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8203.0, 'hotpatch.measure_time': 1533089.0}
[3214]: {'stabilizer.yaw': 0.008110331371426582, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8399.0, 'hotpatch.measure_time': 1570240.0}
[3224]: {'stabilizer.yaw': 0.008637185208499432, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8597.0, 'hotpatch.measure_time': 1607743.0}
[3234]: {'stabilizer.yaw': 0.008473647758364677, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8793.0, 'hotpatch.measure_time': 1644870.0}
[3244]: {'stabilizer.yaw': 0.008044148795306683, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8991.0, 'hotpatch.measure_time': 1682358.0}
[3254]: {'stabilizer.yaw': 0.0070029632188379765, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9187.0, 'hotpatch.measure_time': 1719466.0}
[3264]: {'stabilizer.yaw': 0.008333600126206875, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9384.0, 'hotpatch.measure_time': 1756761.0}
