[3406]: {'stabilizer.yaw': -0.0015076372073963284, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11670.0, 'hotpatch.measure_time': 2186282.0}
[3416]: {'stabilizer.yaw': -0.0020515855867415667, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11762.0, 'hotpatch.measure_time': 2203669.0}
[3426]: {'stabilizer.yaw': -0.0020648520439863205, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11854.0, 'hotpatch.measure_time': 2220905.0}
[3436]: {'stabilizer.yaw': -0.00037042362964712083, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11945.0, 'hotpatch.measure_time': 2238106.0}
[3446]: {'stabilizer.yaw': -0.001699353102594614, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12037.0, 'hotpatch.measure_time': 2255334.0}
[3456]: {'stabilizer.yaw': -0.0022523975931108, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12127.0, 'hotpatch.measure_time': 2272356.0}
[3466]: {'stabilizer.yaw': -0.002449343679472804, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12221.0, 'hotpatch.measure_time': 2290126.0}
[3476]: {'stabilizer.yaw': -0.00173645606264472, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12311.0, 'hotpatch.measure_time': 2307136.0}
[3486]: {'stabilizer.yaw': -0.000518479326274246, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12403.0, 'hotpatch.measure_time': 2324528.0}
[3496]: {'stabilizer.yaw': -0.0004141203826293349, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12493.0, 'hotpatch.measure_time': 2341520.0}
[3506]: {'stabilizer.yaw': -0.0007239697151817381, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12589.0, 'hotpatch.measure_time': 2359580.0}
[3516]: {'stabilizer.yaw': 0.00012445877655409276, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12679.0, 'hotpatch.measure_time': 2376541.0}
[3526]: {'stabilizer.yaw': -0.00047196558443829417, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12771.0, 'hotpatch.measure_time': 2393871.0}
[3536]: {'stabilizer.yaw': -0.0012172937858849764, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12861.0, 'hotpatch.measure_time': 2410823.0}
[3546]: {'stabilizer.yaw': -0.0017251985846087337, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 12952.0, 'hotpatch.measure_time': 2427990.0}
[3556]: {'stabilizer.yaw': -0.0019304684828966856, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13039.0, 'hotpatch.measure_time': 2444428.0}
[3566]: {'stabilizer.yaw': -0.0017240267479792237, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13130.0, 'hotpatch.measure_time': 2461599.0}
[3576]: {'stabilizer.yaw': -0.0010888343676924706, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 13221.0, 'hotpatch.measure_time': 2478620.0}
