[3152]: {'stabilizer.yaw': 0.0015819661784917116, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7175.0, 'hotpatch.measure_time': 1342323.0}
[3162]: {'stabilizer.yaw': 0.0019735617097467184, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7323.0, 'hotpatch.measure_time': 1370344.0}
[3172]: {'stabilizer.yaw': 0.0017387960106134415, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7468.0, 'hotpatch.measure_time': 1397602.0}
[3182]: {'stabilizer.yaw': 0.0014044803101569414, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7617.0, 'hotpatch.measure_time': 1425326.0}
[3192]: {'stabilizer.yaw': 0.0016930652782320976, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7784.0, 'hotpatch.measure_time': 1456829.0}
[3202]: {'stabilizer.yaw': 0.00294709880836308, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7964.0, 'hotpatch.measure_time': 1490914.0}
[3212]: {'stabilizer.yaw': 0.001661151647567749, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8148.0, 'hotpatch.measure_time': 1525731.0}
[3222]: {'stabilizer.yaw': 0.0024172833655029535, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8328.0, 'hotpatch.measure_time': 1559291.0}
[3232]: {'stabilizer.yaw': 0.0025621941313147545, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8499.0, 'hotpatch.measure_time': 1591267.0}
[3242]: {'stabilizer.yaw': 0.0017732641426846385, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8674.0, 'hotpatch.measure_time': 1624463.0}
[3252]: {'stabilizer.yaw': 0.001848879735916853, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8849.0, 'hotpatch.measure_time': 1657499.0}
