[3155]: {'stabilizer.yaw': 0.006505870725959539, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7399.0, 'hotpatch.measure_time': 1894941.0}
[3165]: {'stabilizer.yaw': 0.0053734974935650826, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7543.0, 'hotpatch.measure_time': 1931765.0}
[3175]: {'stabilizer.yaw': 0.006623811088502407, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7685.0, 'hotpatch.measure_time': 1968022.0}
[3185]: {'stabilizer.yaw': 0.006865614093840122, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 7829.0, 'hotpatch.measure_time': 2004575.0}
[3195]: {'stabilizer.yaw': 0.005734800826758146, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 7971.0, 'hotpatch.measure_time': 2040826.0}
[3205]: {'stabilizer.yaw': 0.004996999632567167, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8116.0, 'hotpatch.measure_time': 2077915.0}
[3215]: {'stabilizer.yaw': 0.004751214757561684, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8276.0, 'hotpatch.measure_time': 2118972.0}
[3225]: {'stabilizer.yaw': 0.005650403909385204, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8461.0, 'hotpatch.measure_time': 2166203.0}
[3235]: {'stabilizer.yaw': 0.005197938531637192, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8609.0, 'hotpatch.measure_time': 2204230.0}
[3245]: {'stabilizer.yaw': 0.00512136472389102, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 8757.0, 'hotpatch.measure_time': 2241861.0}
[3255]: {'stabilizer.yaw': 0.004718578886240721, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 8901.0, 'hotpatch.measure_time': 2278753.0}
[3265]: {'stabilizer.yaw': 0.005096770823001862, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9091.0, 'hotpatch.measure_time': 2327455.0}
[3275]: {'stabilizer.yaw': 0.003863972146064043, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9243.0, 'hotpatch.measure_time': 2366432.0}
[3285]: {'stabilizer.yaw': 0.003774600801989436, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9435.0, 'hotpatch.measure_time': 2415455.0}
[3295]: {'stabilizer.yaw': 0.00561813497915864, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 9607.0, 'hotpatch.measure_time': 2459639.0}
[3305]: {'stabilizer.yaw': 0.005423573311418295, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 9794.0, 'hotpatch.measure_time': 2507737.0}
[3315]: {'stabilizer.yaw': 0.006625253241509199, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 9938.0, 'hotpatch.measure_time': 2544745.0}
[3325]: {'stabilizer.yaw': 0.007163031958043575, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10078.0, 'hotpatch.measure_time': 2580549.0}
[3335]: {'stabilizer.yaw': 0.007186093367636204, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10216.0, 'hotpatch.measure_time': 2616066.0}
[3345]: {'stabilizer.yaw': 0.007588683161884546, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 10356.0, 'hotpatch.measure_time': 2652088.0}
[3355]: {'stabilizer.yaw': 0.007418274879455566, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 10495.0, 'hotpatch.measure_time': 2687823.0}
[3365]: {'stabilizer.yaw': 0.008320603519678116, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 10645.0, 'hotpatch.measure_time': 2726432.0}
[3375]: {'stabilizer.yaw': 0.008498171344399452, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 10784.0, 'hotpatch.measure_time': 2761961.0}
[3385]: {'stabilizer.yaw': 0.007616769056767225, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 10935.0, 'hotpatch.measure_time': 2800806.0}
[3395]: {'stabilizer.yaw': 0.007081415504217148, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11076.0, 'hotpatch.measure_time': 2837075.0}
[3405]: {'stabilizer.yaw': 0.007880422286689281, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11231.0, 'hotpatch.measure_time': 2876975.0}
[3415]: {'stabilizer.yaw': -0.007902126759290695, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11376.0, 'hotpatch.measure_time': 2914043.0}
[3425]: {'stabilizer.yaw': -0.006963545456528664, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 11521.0, 'hotpatch.measure_time': 2951322.0}
[3435]: {'stabilizer.yaw': -0.008011729456484318, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 11665.0, 'hotpatch.measure_time': 2988378.0}
[3445]: {'stabilizer.yaw': -0.006978821940720081, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 11813.0, 'hotpatch.measure_time': 3026179.0}
[3455]: {'stabilizer.yaw': -0.006811744999140501, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 11963.0, 'hotpatch.measure_time': 3064777.0}
[3465]: {'stabilizer.yaw': -0.0068142912350595, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12119.0, 'hotpatch.measure_time': 3104855.0}
[3475]: {'stabilizer.yaw': -0.006969220004975796, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12294.0, 'hotpatch.measure_time': 3149834.0}
[3485]: {'stabilizer.yaw': -0.006517855916172266, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12482.0, 'hotpatch.measure_time': 3198177.0}
[3495]: {'stabilizer.yaw': -0.0059096235781908035, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12656.0, 'hotpatch.measure_time': 3242386.0}
[3505]: {'stabilizer.yaw': -0.004470246843993664, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12846.0, 'hotpatch.measure_time': 3291291.0}
[3515]: {'stabilizer.yaw': -0.005030004307627678, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 12957.0, 'hotpatch.measure_time': 3319873.0}
[3525]: {'stabilizer.yaw': -0.005247852299362421, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13048.0, 'hotpatch.measure_time': 3343316.0}
[3535]: {'stabilizer.yaw': -0.005904241465032101, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13137.0, 'hotpatch.measure_time': 3366206.0}
[3545]: {'stabilizer.yaw': -0.004638581536710262, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13228.0, 'hotpatch.measure_time': 3389629.0}
[3555]: {'stabilizer.yaw': -0.00477029662579298, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13316.0, 'hotpatch.measure_time': 3412296.0}
[3565]: {'stabilizer.yaw': -0.0044954619370400906, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13405.0, 'hotpatch.measure_time': 3435238.0}
[3575]: {'stabilizer.yaw': -0.004779167007654905, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13492.0, 'hotpatch.measure_time': 3457715.0}
